issue_id,author,title,commenter_usernames,comment_count,unique_commenter_count,link,issue_post_date,last_comment_date
224,mrnels19,Unable to Create Pose Config,[],4,1,https://github.com/sgoldenlab/simba/issues/224,2023-01-03T03:27:02Z,
223,urimons,Problem with sklearn visualization ,[],3,1,https://github.com/sgoldenlab/simba/issues/223,2022-12-14T08:07:12Z,
222,Destiny-123,Analyze ROI with specific time frame,[],1,1,https://github.com/sgoldenlab/simba/issues/222,2022-12-09T01:08:46Z,
221,anacastropsico,Problens with simba (ROIS),[],38,1,https://github.com/sgoldenlab/simba/issues/221,2022-11-30T21:05:38Z,
215,colinyong,questions about behaviour labeling ,[],1,1,https://github.com/sgoldenlab/simba/issues/215,2022-11-10T14:11:26Z,
214,chongtianyifa,do not rotate the video during Sklearn Visualization,[],5,1,https://github.com/sgoldenlab/simba/issues/214,2022-11-09T07:24:19Z,
213,Toshea111,Anchored ROI Request,[],35,1,https://github.com/sgoldenlab/simba/issues/213,2022-11-07T17:34:56Z,
212,urimons,Plot threshold is taking too long,[],5,1,https://github.com/sgoldenlab/simba/issues/212,2022-09-18T14:25:51Z,
211,suntzuisafterU,XGBoost available as a model but not fully implemented,[],2,1,https://github.com/sgoldenlab/simba/issues/211,2022-09-12T19:39:35Z,
210,DorianBattivelli,Impossible to import h5 elipse data from DLC,[],19,1,https://github.com/sgoldenlab/simba/issues/210,2022-09-06T12:09:07Z,
209,DorianBattivelli,Unreliable ROI quantification,[],32,1,https://github.com/sgoldenlab/simba/issues/209,2022-08-22T14:02:05Z,
208,carson2stoker,ParseError during Project Config,[],12,1,https://github.com/sgoldenlab/simba/issues/208,2022-08-13T22:28:44Z,
207,carson2stoker,Dependency Conflicts During Installation,[],5,1,https://github.com/sgoldenlab/simba/issues/207,2022-08-12T19:03:12Z,
206,n-zeng,Issue while analyzing machine-results,[],1,1,https://github.com/sgoldenlab/simba/issues/206,2022-08-12T17:37:50Z,
205,carson2stoker,Create pose config Issues,[],4,1,https://github.com/sgoldenlab/simba/issues/205,2022-08-10T19:43:14Z,
204,Gfernandezv,Help with behavior labeling.,[],1,1,https://github.com/sgoldenlab/simba/issues/204,2022-08-06T23:18:44Z,
203,DorianBattivelli,Issue with distance analysis. ,[],2,1,https://github.com/sgoldenlab/simba/issues/203,2022-08-05T17:47:58Z,
202,DorianBattivelli,Mismatch in ROI data analysis.,[],22,1,https://github.com/sgoldenlab/simba/issues/202,2022-07-26T11:15:01Z,
201,fon215,Error during train machine model step/need help understanding hyperparameters,[],11,1,https://github.com/sgoldenlab/simba/issues/201,2022-07-21T02:09:05Z,
200,raewanyk,OpenCV can't read video stream from file error when trying to get pixels/mm in video parameters,[],19,1,https://github.com/sgoldenlab/simba/issues/200,2022-07-15T19:04:50Z,
199,n-zeng,Machine Model Training Issue,[],13,1,https://github.com/sgoldenlab/simba/issues/199,2022-07-14T19:08:19Z,
198,n-zeng,Error in terminal while training models.,[],2,1,https://github.com/sgoldenlab/simba/issues/198,2022-07-13T16:00:07Z,
